numero,cliente,nif,fecha,total,estado
REC-20260309221144,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0033,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309112628,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0030,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309111708,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0027,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309110712,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0024,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309105629,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0021,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
